,prim_state,area,area_name,occ_code,occ_titl,tot_emp,a_mean,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,year
49,AL,2030,"Decatur, AL ",15-1041,Computer Support Specialists,          70,    30380,18270,20280,29340,39100,45660,2000
50,AL,2030,"Decatur, AL ",15-1051,Computer Systems Analysts,         100,    53480,40660,46130,52560,61550,69490,2000
51,AL,2030,"Decatur, AL ",15-1071,Network and Computer Systems Administrators,          30,    38750,24570,31960,38570,44970,54310,2000
52,AL,2030,"Decatur, AL ",15-2031,Operations Research Analysts,          40,    53090,37590,42660,51610,63560,73510,2000
53,AL,2030,"Decatur, AL ",43-9011,Computer Operators,          40,    25770,15890,19430,24580,32660,36800,2000
54,AL,2030,"Decatur, AL ",43-9021,Data Entry Keyers,          70,    19180,12940,15270,18810,22790,26950,2000
55,AL,2180,"Dothan, AL ",11-3021,Computer and Information Systems Managers,          50,    60380,38130,43610,58020,77360,87390,2000
56,AL,2180,"Dothan, AL ",13-1111,Management Analysts,          60,    51420,36390,45710,51720,59880,68580,2000
57,AL,2180,"Dothan, AL ",15-1021,Computer Programmers,          90,    43500,26600,31650,42150,55250,67680,2000
58,AL,2180,"Dothan, AL ",15-1031,"Computer Software Engineers, Applications",0,    54330,41800,46760,52950,61560,71120,2000
59,AL,2180,"Dothan, AL ",15-1041,Computer Support Specialists,          50,    31850,21520,24590,28410,39590,47360,2000
60,AL,2180,"Dothan, AL ",15-1051,Computer Systems Analysts,          70,    51580,36980,45200,51770,59520,68100,2000
61,AL,2180,"Dothan, AL ",15-1071,Network and Computer Systems Administrators,          40,    43980,29340,34030,46490,52210,55650,2000
62,AL,2180,"Dothan, AL ",43-9011,Computer Operators,          60,    22850,12620,15160,18430,30030,39030,2000
63,AL,2180,"Dothan, AL ",43-9021,Data Entry Keyers,          90,    18290,14260,15590,17620,21090,24310,2000
64,AL,2180,"Dothan, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    21650,15360,17500,20320,23150,32490,2000
65,AL,2650,"Florence, AL ",11-3021,Computer and Information Systems Managers,          40,    53690,24290,35640,53970,68220,84720,2000
66,AL,2650,"Florence, AL ",15-1021,Computer Programmers,          50,    34020,19260,28250,33580,40270,46490,2000
67,AL,2650,"Florence, AL ",15-1041,Computer Support Specialists,          40,    34020,23200,25560,30610,40710,52290,2000
68,AL,2650,"Florence, AL ",15-1051,Computer Systems Analysts,          60,    54740,31200,46880,56690,66570,74310,2000
69,AL,2650,"Florence, AL ",15-1071,Network and Computer Systems Administrators,          30,    43980,28200,33130,40850,52960,69170,2000
70,AL,2650,"Florence, AL ",43-9011,Computer Operators,          50,    27740,17850,20050,24450,32340,47090,2000
71,AL,2650,"Florence, AL ",43-9021,Data Entry Keyers,          50,    19050,14400,15900,18810,21380,23080,2000
72,AL,2650,"Florence, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          40,    33390,21510,25410,30690,39910,45240,2000
73,AL,2880,"Gadsden, AL ",43-9021,Data Entry Keyers,          40,    17970,11610,12710,14680,17720,32840,2000
74,AL,2880,"Gadsden, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          30,    24530,12970,15570,23870,32730,38270,2000
75,AL,3440,"Huntsville, AL ",11-3021,Computer and Information Systems Managers,         830,    73050,40950,60070,75180,88070,104510,2000
76,AL,3440,"Huntsville, AL ",13-1111,Management Analysts,        1120,    56800,35680,44570,56640,68620,82600,2000
77,AL,3440,"Huntsville, AL ",15-1011,"Computer and Information Scientists, Research",         280,    68630,45170,58290,71140,82230,89310,2000
78,AL,3440,"Huntsville, AL ",15-1021,Computer Programmers,         910,    57340,33480,41430,54150,74840,87850,2000
79,AL,3440,"Huntsville, AL ",15-1031,"Computer Software Engineers, Applications",        1150,    62760,41020,52700,63990,74230,86170,2000
80,AL,3440,"Huntsville, AL ",15-1032,"Computer Software Engineers, Systems Software",        1200,    63400,45350,53010,63410,75110,87010,2000
81,AL,3440,"Huntsville, AL ",15-1041,Computer Support Specialists,         950,    38840,23900,28530,37250,48810,56380,2000
82,AL,3440,"Huntsville, AL ",15-1051,Computer Systems Analysts,        1990,    58870,37150,47010,59980,70780,83380,2000
83,AL,3440,"Huntsville, AL ",15-1061,Database Administrators,         190,    45820,29430,33100,41990,57710,70880,2000
84,AL,3440,"Huntsville, AL ",15-1071,Network and Computer Systems Administrators,         590,    46070,25980,38760,48670,53780,57490,2000
85,AL,3440,"Huntsville, AL ",15-1081,Network Systems and Data Communications Analysts,         140,    45940,29740,33270,47020,58090,66760,2000
86,AL,3440,"Huntsville, AL ",15-2031,Operations Research Analysts,         480,    66940,43300,54230,66250,79780,89550,2000
87,AL,3440,"Huntsville, AL ",17-2061,Computer Hardware Engineers,         450,    71480,42670,59420,73980,86630,100880,2000
88,AL,3440,"Huntsville, AL ",19-3021,Market Research Analysts,          90,    63200,42450,57120,65040,74590,85720,2000
89,AL,3440,"Huntsville, AL ",43-9011,Computer Operators,         230,    25260,14790,17620,23840,31860,35710,2000
90,AL,3440,"Huntsville, AL ",43-9021,Data Entry Keyers,         390,    19490,12740,15160,17880,22190,27240,2000
91,AL,3440,"Huntsville, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         330,    27390,15600,17920,23480,37180,43360,2000
92,AL,5160,"Mobile, AL ",11-3021,Computer and Information Systems Managers,         170,    57540,30160,44990,58130,71190,85980,2000
93,AL,5160,"Mobile, AL ",13-1111,Management Analysts,          60,    55370,22810,40270,51130,65320,87920,2000
94,AL,5160,"Mobile, AL ",15-1021,Computer Programmers,         210,    41400,25240,29450,35850,51080,60860,2000
95,AL,5160,"Mobile, AL ",15-1031,"Computer Software Engineers, Applications",         130,    52840,33050,40750,50920,64050,79030,2000
96,AL,5160,"Mobile, AL ",15-1041,Computer Support Specialists,         490,    32380,19840,24260,31240,38240,46420,2000
97,AL,5160,"Mobile, AL ",15-1051,Computer Systems Analysts,         170,    53140,34170,42240,52420,64620,74410,2000
98,AL,5160,"Mobile, AL ",15-1061,Database Administrators,0,    50940,33140,38620,48900,64550,71230,2000
99,AL,5160,"Mobile, AL ",15-1071,Network and Computer Systems Administrators,         320,    41290,28320,34010,40480,47400,56540,2000
100,AL,5160,"Mobile, AL ",15-1081,Network Systems and Data Communications Analysts,0,    42910,26920,33390,43070,52460,60570,2000
101,AL,5160,"Mobile, AL ",19-3021,Market Research Analysts,          40,    58180,30440,46850,59420,72830,85450,2000
102,AL,5160,"Mobile, AL ",43-9011,Computer Operators,         340,    21740,12320,14550,17380,26020,34570,2000
103,AL,5160,"Mobile, AL ",43-9021,Data Entry Keyers,         550,    19660,14440,15930,18430,22030,27460,2000
104,AL,5160,"Mobile, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         240,    31640,18070,24110,29070,36990,43960,2000
105,AL,5240,"Montgomery, AL ",11-3021,Computer and Information Systems Managers,         390,    64440,38440,54730,65140,75870,89370,2000
106,AL,5240,"Montgomery, AL ",13-1111,Management Analysts,         130,    48230,22300,31670,45160,59840,83450,2000
107,AL,5240,"Montgomery, AL ",15-1011,"Computer and Information Scientists, Research",0,    49610,16440,30200,52810,67460,82880,2000
108,AL,5240,"Montgomery, AL ",15-1021,Computer Programmers,         590,    46940,29570,36650,47760,56880,66630,2000
109,AL,5240,"Montgomery, AL ",15-1031,"Computer Software Engineers, Applications",          40,    56960,38570,47460,57880,67580,77100,2000
110,AL,5240,"Montgomery, AL ",15-1032,"Computer Software Engineers, Systems Software",          40,    50630,37070,41730,49460,56940,68120,2000
111,AL,5240,"Montgomery, AL ",15-1041,Computer Support Specialists,         490,    33730,16990,25610,33290,42190,50350,2000
112,AL,5240,"Montgomery, AL ",15-1051,Computer Systems Analysts,         670,    52770,34510,43440,53540,63840,70390,2000
113,AL,5240,"Montgomery, AL ",15-1061,Database Administrators,          70,    43000,21010,29980,44540,54420,65300,2000
114,AL,5240,"Montgomery, AL ",15-1071,Network and Computer Systems Administrators,         130,    46480,29320,37720,43560,56790,68790,2000
115,AL,5240,"Montgomery, AL ",15-2031,Operations Research Analysts,0,    46660,27320,31710,40590,57570,77140,2000
116,AL,5240,"Montgomery, AL ",15-2041,Statisticians,          50,    35540,21340,25590,37030,42520,51080,2000
117,AL,5240,"Montgomery, AL ",19-3021,Market Research Analysts,         140,    61790,33110,49250,63900,74260,88760,2000
118,AL,5240,"Montgomery, AL ",43-9011,Computer Operators,         280,    27290,16520,20490,27770,32950,37240,2000
119,AL,5240,"Montgomery, AL ",43-9021,Data Entry Keyers,         450,    19220,12160,14030,17910,22640,27910,2000
120,AL,5240,"Montgomery, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         290,    32310,20390,24550,29990,36190,44080,2000
121,AL,8600,"Tuscaloosa, AL ",11-3021,Computer and Information Systems Managers,          80,    56710,31880,39360,51490,70940,87840,2000
122,AL,8600,"Tuscaloosa, AL ",15-1021,Computer Programmers,          50,    53720,36900,41210,50430,64470,79750,2000
123,AL,8600,"Tuscaloosa, AL ",15-1041,Computer Support Specialists,         100,    25370,18300,19360,21140,28340,37620,2000
124,AL,8600,"Tuscaloosa, AL ",15-1051,Computer Systems Analysts,          90,    49510,32070,38460,46650,59660,69920,2000
125,AL,8600,"Tuscaloosa, AL ",15-1071,Network and Computer Systems Administrators,          50,    45720,31100,37560,48480,53360,56290,2000
126,AL,8600,"Tuscaloosa, AL ",43-9011,Computer Operators,          70,    23910,15070,16810,21820,28340,37610,2000
127,AL,8600,"Tuscaloosa, AL ",43-9021,Data Entry Keyers,         120,    18960,13450,16480,19200,21390,23660,2000
128,AL,8600,"Tuscaloosa, AL ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          80,    25820,17240,20490,25700,30900,35280,2000
129,AR,2580,"Fayetteville-Springdale-Rogers, AR ",11-3021,Computer and Information Systems Managers,         200,    67420,40340,50980,66760,83670,97120,2000
130,AR,2580,"Fayetteville-Springdale-Rogers, AR ",13-1111,Management Analysts,         120,    63610,32440,47840,73760,82500,87730,2000
131,AR,2580,"Fayetteville-Springdale-Rogers, AR ",15-1021,Computer Programmers,         490,    43310,28680,31000,34650,48870,72690,2000
132,AR,2580,"Fayetteville-Springdale-Rogers, AR ",15-1032,"Computer Software Engineers, Systems Software",         140,    55720,25120,34420,47990,80910,89030,2000
133,AR,2580,"Fayetteville-Springdale-Rogers, AR ",15-1041,Computer Support Specialists,         190,    27780,17920,23280,27010,32790,40250,2000
134,AR,2580,"Fayetteville-Springdale-Rogers, AR ",15-1051,Computer Systems Analysts,         180,    50930,30900,36580,47750,61190,79970,2000
135,AR,2580,"Fayetteville-Springdale-Rogers, AR ",15-1061,Database Administrators,          80,    49840,23350,30210,46830,66600,87390,2000
136,AR,2580,"Fayetteville-Springdale-Rogers, AR ",15-1071,Network and Computer Systems Administrators,         150,    54730,26020,31560,39610,55070,129570,2000
137,AR,2580,"Fayetteville-Springdale-Rogers, AR ",15-1081,Network Systems and Data Communications Analysts,          50,    38610,26650,31250,36670,42820,52430,2000
138,AR,2580,"Fayetteville-Springdale-Rogers, AR ",43-9011,Computer Operators,         220,    24010,14980,18950,23970,28780,33730,2000
139,AR,2580,"Fayetteville-Springdale-Rogers, AR ",43-9021,Data Entry Keyers,         150,    18390,13310,15440,18220,21250,23880,2000
140,AR,2580,"Fayetteville-Springdale-Rogers, AR ",43-9111,Statistical Assistants,         100,    23500,15150,16640,21150,28880,35600,2000
141,AR,2580,"Fayetteville-Springdale-Rogers, AR ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          50,    25060,13780,18710,22490,28650,38090,2000
142,AR,2720,"Fort Smith, AR-OK ",11-3021,Computer and Information Systems Managers,          40,    59740,32290,39200,59490,72050,96970,2000
143,AR,2720,"Fort Smith, AR-OK ",13-1111,Management Analysts,          30,    60550,40260,49830,57190,68640,85400,2000
144,AR,2720,"Fort Smith, AR-OK ",15-1021,Computer Programmers,         130,    38510,24510,28550,33920,44220,56890,2000
145,AR,2720,"Fort Smith, AR-OK ",15-1041,Computer Support Specialists,         230,    23530,18450,19940,22410,25630,28050,2000
146,AR,2720,"Fort Smith, AR-OK ",15-1051,Computer Systems Analysts,          80,    49060,29690,38680,47780,59200,72340,2000
147,AR,2720,"Fort Smith, AR-OK ",15-1061,Database Administrators,          30,    51750,21050,38680,53510,67490,79940,2000
148,AR,2720,"Fort Smith, AR-OK ",15-1071,Network and Computer Systems Administrators,          40,    38070,23040,28970,36070,47600,55450,2000
149,AR,2720,"Fort Smith, AR-OK ",15-1081,Network Systems and Data Communications Analysts,          40,    35770,13610,28840,38020,46910,52890,2000
150,AR,2720,"Fort Smith, AR-OK ",19-3021,Market Research Analysts,          30,    36380,13740,24740,40210,49220,54230,2000
151,AR,2720,"Fort Smith, AR-OK ",43-9011,Computer Operators,          50,    24330,15830,19260,25210,28600,32790,2000
152,AR,2720,"Fort Smith, AR-OK ",43-9021,Data Entry Keyers,         110,    21710,14440,16590,20350,24600,34030,2000
153,AR,2720,"Fort Smith, AR-OK ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    26560,18860,21680,25970,30490,36580,2000
154,AR,3700,"Jonesboro, AR ",13-1111,Management Analysts,          40,    43340,20680,26020,33400,43560,57110,2000
155,AR,3700,"Jonesboro, AR ",15-1041,Computer Support Specialists,          70,    24490,15450,20370,24740,28880,33370,2000
156,AR,3700,"Jonesboro, AR ",43-9011,Computer Operators,          30,    21580,14460,16870,20620,26380,31790,2000
157,AR,3700,"Jonesboro, AR ",43-9021,Data Entry Keyers,          40,    17390,12710,14760,16730,19860,23190,2000
158,AR,3700,"Jonesboro, AR ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    25210,16920,20550,24830,29580,34330,2000
159,AR,4400,"Little Rock-North Little Rock, AR ",11-3021,Computer and Information Systems Managers,         390,    70190,41980,50750,65430,87890,111530,2000
160,AR,4400,"Little Rock-North Little Rock, AR ",13-1111,Management Analysts,        2030,    39180,26150,30710,36150,44930,54810,2000
161,AR,4400,"Little Rock-North Little Rock, AR ",15-1021,Computer Programmers,         690,    46410,26660,33650,43680,56670,69100,2000
162,AR,4400,"Little Rock-North Little Rock, AR ",15-1032,"Computer Software Engineers, Systems Software",          80,    58730,35600,47310,58880,72720,84130,2000
163,AR,4400,"Little Rock-North Little Rock, AR ",15-1041,Computer Support Specialists,         530,    31640,20100,23920,29500,37600,44410,2000
164,AR,4400,"Little Rock-North Little Rock, AR ",15-1051,Computer Systems Analysts,         620,    46150,31240,35900,46040,55080,64450,2000
165,AR,4400,"Little Rock-North Little Rock, AR ",15-1071,Network and Computer Systems Administrators,         370,    46070,28170,33190,41200,56800,74810,2000
166,AR,4400,"Little Rock-North Little Rock, AR ",15-1081,Network Systems and Data Communications Analysts,         100,    46240,30080,36260,45870,54330,66210,2000
167,AR,4400,"Little Rock-North Little Rock, AR ",15-2031,Operations Research Analysts,         110,    51950,25810,30940,46300,72450,89160,2000
168,AR,4400,"Little Rock-North Little Rock, AR ",15-2041,Statisticians,          80,    40790,25680,32300,39680,46460,57260,2000
169,AR,4400,"Little Rock-North Little Rock, AR ",19-3021,Market Research Analysts,         100,    49960,29190,36830,48840,63060,77540,2000
170,AR,4400,"Little Rock-North Little Rock, AR ",43-9011,Computer Operators,0,    25300,17960,21350,24760,27950,34190,2000
171,AR,4400,"Little Rock-North Little Rock, AR ",43-9021,Data Entry Keyers,        1280,    23740,15910,19360,23880,26950,32400,2000
172,AR,4400,"Little Rock-North Little Rock, AR ",43-9111,Statistical Assistants,        1120,    20580,14060,16010,20280,24980,27740,2000
173,AR,4400,"Little Rock-North Little Rock, AR ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         500,    29950,19140,22550,27460,35170,44210,2000
174,AR,6240,"Pine Bluff, AR ",13-1111,Management Analysts,          50,    42360,24240,27070,44470,54040,65280,2000
175,AR,6240,"Pine Bluff, AR ",15-1041,Computer Support Specialists,          30,    31320,18860,21440,27130,39860,50480,2000
176,AR,6240,"Pine Bluff, AR ",15-1051,Computer Systems Analysts,          30,    57380,27380,41540,62100,72840,84190,2000
177,AR,6240,"Pine Bluff, AR ",43-9011,Computer Operators,          30,    23360,15580,17790,21460,26460,37700,2000
178,AZ,2620,"Flagstaff, AZ-UT ",11-3021,Computer and Information Systems Managers,          40,    64750,46460,56920,64080,70770,89160,2000
179,AZ,2620,"Flagstaff, AZ-UT ",13-1111,Management Analysts,          40,    43660,29920,33250,39570,50360,66340,2000
180,AZ,2620,"Flagstaff, AZ-UT ",15-1021,Computer Programmers,          40,    37800,29680,32080,35980,41940,46420,2000
181,AZ,2620,"Flagstaff, AZ-UT ",15-1032,"Computer Software Engineers, Systems Software",0,    69210,48360,53630,75840,83420,87970,2000
182,AZ,2620,"Flagstaff, AZ-UT ",15-1041,Computer Support Specialists,         100,    27750,16270,23530,27880,33150,36700,2000
183,AZ,2620,"Flagstaff, AZ-UT ",15-1051,Computer Systems Analysts,          60,    46920,32250,38470,45730,55640,64960,2000
184,AZ,2620,"Flagstaff, AZ-UT ",15-1071,Network and Computer Systems Administrators,          30,    42900,25510,28820,38980,52620,70940,2000
185,AZ,2620,"Flagstaff, AZ-UT ",17-2061,Computer Hardware Engineers,0,    61500,38620,55940,63840,70870,82720,2000
186,AZ,2620,"Flagstaff, AZ-UT ",43-9011,Computer Operators,          40,    26060,18950,21320,25180,29190,35820,2000
187,AZ,2620,"Flagstaff, AZ-UT ",43-9021,Data Entry Keyers,         110,    22180,13070,16920,22740,26710,31920,2000
188,AZ,6200,"Phoenix-Mesa, AZ ",11-3021,Computer and Information Systems Managers,        4100,    75450,45290,60790,76990,89950,107810,2000
189,AZ,6200,"Phoenix-Mesa, AZ ",13-1111,Management Analysts,        6710,    50830,29640,35650,45080,60370,84730,2000
190,AZ,6200,"Phoenix-Mesa, AZ ",15-1011,"Computer and Information Scientists, Research",         160,    68140,46800,53480,66720,82900,97190,2000
191,AZ,6200,"Phoenix-Mesa, AZ ",15-1021,Computer Programmers,        8100,    53770,30740,40460,54330,66690,77640,2000
192,AZ,6200,"Phoenix-Mesa, AZ ",15-1031,"Computer Software Engineers, Applications",        4370,    90210,38590,52230,89610,128930,139050,2000
193,AZ,6200,"Phoenix-Mesa, AZ ",15-1032,"Computer Software Engineers, Systems Software",        5210,    68680,44980,58370,69930,82730,90720,2000
194,AZ,6200,"Phoenix-Mesa, AZ ",15-1041,Computer Support Specialists,        8350,    40970,24390,30490,39070,50790,62660,2000
195,AZ,6200,"Phoenix-Mesa, AZ ",15-1051,Computer Systems Analysts,        7500,    66680,38690,52800,73100,82730,88570,2000
196,AZ,6200,"Phoenix-Mesa, AZ ",15-1061,Database Administrators,        1350,    60750,33890,46100,56420,76920,97990,2000
197,AZ,6200,"Phoenix-Mesa, AZ ",15-1071,Network and Computer Systems Administrators,        2780,    53060,36040,41020,51450,64100,72780,2000
198,AZ,6200,"Phoenix-Mesa, AZ ",15-1081,Network Systems and Data Communications Analysts,        1350,    60030,38640,47080,58140,69360,84900,2000
199,AZ,6200,"Phoenix-Mesa, AZ ",15-2031,Operations Research Analysts,         790,    46400,24910,29220,41310,58840,78300,2000
200,AZ,6200,"Phoenix-Mesa, AZ ",15-2041,Statisticians,         210,    48290,30360,34620,43420,61450,76270,2000
201,AZ,6200,"Phoenix-Mesa, AZ ",17-2061,Computer Hardware Engineers,        1100,    66540,41690,50680,63440,81220,100600,2000
202,AZ,6200,"Phoenix-Mesa, AZ ",19-3021,Market Research Analysts,        1400,    46250,22180,31650,43610,56060,77340,2000
203,AZ,6200,"Phoenix-Mesa, AZ ",43-9011,Computer Operators,        2730,    25180,16430,19220,23010,30050,35870,2000
204,AZ,6200,"Phoenix-Mesa, AZ ",43-9021,Data Entry Keyers,        6290,    21500,15730,17970,20600,24170,28580,2000
205,AZ,6200,"Phoenix-Mesa, AZ ",43-9111,Statistical Assistants,          90,    28380,18870,20690,24540,31760,41350,2000
206,AZ,6200,"Phoenix-Mesa, AZ ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        2140,    29260,21610,24390,27450,32850,40860,2000
207,AZ,8520,"Tucson, AZ ",11-3021,Computer and Information Systems Managers,         410,    59660,31540,39580,57120,73850,92150,2000
208,AZ,8520,"Tucson, AZ ",13-1111,Management Analysts,         680,    52270,29970,37360,49410,63220,82010,2000
209,AZ,8520,"Tucson, AZ ",15-1021,Computer Programmers,        1060,    49430,29990,36890,44800,58070,73770,2000
210,AZ,8520,"Tucson, AZ ",15-1031,"Computer Software Engineers, Applications",         540,    66700,33810,49380,71470,85420,93460,2000
211,AZ,8520,"Tucson, AZ ",15-1041,Computer Support Specialists,        2540,    29510,15830,18940,28770,35910,46040,2000
212,AZ,8520,"Tucson, AZ ",15-1051,Computer Systems Analysts,         560,    51300,34100,40400,50750,61260,70850,2000
213,AZ,8520,"Tucson, AZ ",15-1061,Database Administrators,         190,    54380,26170,41830,53910,68070,84640,2000
214,AZ,8520,"Tucson, AZ ",15-1071,Network and Computer Systems Administrators,         250,    46160,30880,35360,42140,55680,70390,2000
215,AZ,8520,"Tucson, AZ ",15-1081,Network Systems and Data Communications Analysts,         110,    47820,26680,38810,47030,56210,70370,2000
216,AZ,8520,"Tucson, AZ ",19-3021,Market Research Analysts,         230,    53800,18950,21410,52260,77190,99460,2000
217,AZ,8520,"Tucson, AZ ",43-9011,Computer Operators,         520,    28350,17600,21340,26880,34530,42110,2000
218,AZ,8520,"Tucson, AZ ",43-9021,Data Entry Keyers,        1550,    21480,14800,16180,18770,23180,35690,2000
219,AZ,8520,"Tucson, AZ ",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         280,    35320,21390,25620,32860,44160,54420,2000
220,AZ,9360,"Yuma, AZ ",13-1111,Management Analysts,          60,    40380,24820,27570,40420,52130,57490,2000
